YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,UMPB18424,45,PUNJABI,FEMALE,BEKERJA SEPENUH MASA,TIGER FORCE SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,5000.00,ONLINE,7878,MASTER,40-49,45.0
2023,UMPB19205,32,IBAN/SEA DAYAK -SARAWAK,FEMALE,BEKERJA SEPENUH MASA,BLESSING PU SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SARAWAK,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,8507,MASTER,30-39,32.0
2023,UMPB19235,44,INDIA,MALE,BEKERJA SEPENUH MASA,ASSUNTA HOSPITAL,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,7000.00,ONLINE,7805,MASTER,40-49,44.0
2023,UMPB19250,44,MINANGKABAU,FEMALE,BEKERJA SEPENUH MASA,HI-ESSENCE CABLE SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,4800.00,ONLINE,7640,MASTER,40-49,44.0
2023,UMPB19306,52,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",NOT SPECIFIED,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,NOT SPECIFIED,ONLINE,7450,MASTER,50-59,52.0
2023,UMPB19313,37,INDIA,FEMALE,BEKERJA SEPENUH MASA,MAN SOON AUTOMOBILE & ENGINEERING SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERAK,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,1600.00,ONLINE,8293,MASTER,30-39,37.0
2023,UMPB19315,41,INDIA,FEMALE,BEKERJA SEPENUH MASA,FORTUNE Z,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,10000.00,ONLINE,8649,MASTER,40-49,41.0
2023,UMPB19317,52,MALAYALI,MALE,BEKERJA SEPENUH MASA,UMW TOYOTA MOTOR SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,20000.00,ONLINE,7476,MASTER,50-59,52.0
2023,UMPB22205,47,CINA,MALE,BEKERJA SEPENUH MASA,UNISEM (M) BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERAK,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,6000.00,ONLINE,7837,MASTER,40-49,47.0
2023,UMPB22301,37,MELAYU,MALE,BEKERJA SEPENUH MASA,SYARIKAT AIR DARUL AMAN SDN.BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",KEDAH,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,1900.00,ONLINE,8476,MASTER,30-39,37.0
2023,UMPB22305,38,INDIA,MALE,BEKERJA SEPENUH MASA,COMFORT RUBBER INDUSTRIES GLOVES SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERAK,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,3500.00,ONLINE,8858,MASTER,30-39,38.0
2023,UMPB22401,53,MELAYU,FEMALE,BEKERJA SEPENUH MASA,PKPP AGRO SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,340,MASTER EKSEKUTIF PENGURUSAN PERNIAGAAN,7075.00,ONLINE,7461,MASTER,50-59,53.0
